,full_name,rating,jersey,team,position,b_day,height_inInches,height_inMeters,weight_inlbs,weight_inkg,salary,country,draft_year,draft_round,draft_peak,college
0,LeBron James,97,23,Los Angeles Lakers,F,12/30/84,6.75,2.06,250,113.4,37436858,USA,2003,1,1,Tennessee State
1,Kawhi Leonard,97,2,Los Angeles Clippers,F,06/29/91,6.58,2.01,225,102.1,32742000,USA,2011,1,15,San Diego State
2,Giannis Antetokounmpo,96,34,Milwaukee Bucks,F-G,12/06/94,6.08,2.11,242,109.8,25842697,Greece,2013,1,15,Louisville
3,Kevin Durant,96,7,Brooklyn Nets,F,09/29/88,6.08,2.08,230,104.3,37199000,USA,2007,1,2,Texas
4,James Harden,96,13,Houston Rockets,G,08/26/89,6.42,1.96,220,99.8,38199000,USA,2009,1,3,Arizona State
5,Stephen Curry,95,30,Golden State Warriors,G,03/14/88,6.25,1.91,185,83.9,40231758,USA,2009,1,7,Davidson
6,Anthony Davis,94,3,Los Angeles Lakers,F-C,03/11/93,6.08,2.08,222,100.7,27093019,USA,2012,1,1,Kentucky
7,Paul George,93,13,Los Angeles Clippers,F,05/02/90,6.67,2.03,210,95.3,33005556,USA,2010,1,10,Fresno State
8,Damian Lillard,92,0,Portland Trail Blazers,G,07/15/90,6.17,1.88,195,88.5,29802321,USA,2012,1,6,Weber State
9,Joel Embiid,91,21,Philadelphia 76ers,C,03/16/94,7.0,2.13,250,113.4,27504630,Cameroon,2014,1,3,Kansas
10,Kyrie Irving,91,11,Brooklyn Nets,G,03/23/92,6.17,1.88,180,81.6,31742000,Australia,2011,1,1,Duke
11,Nikola Jokic,90,15,Denver Nuggets,C,02/19/95,7.0,2.13,253,114.8,27504630,Serbia,2014,2,41,Arizona
12,Russell Westbrook,90,0,Houston Rockets,G,11/12/88,6.25,1.91,190,86.2,38506482,USA,2008,1,4,UCLA
13,Klay Thompson,89,11,Golden State Warriors,G,02/08/90,6.5,1.98,205,93.0,32742000,USA,2011,1,11,Washington State
14,Karl-Anthony Towns,89,32,Minnesota Timberwolves,F-C,11/15/95,6.08,2.11,248,112.5,27285000,USA,2015,1,1,Kentucky
15,Jimmy Butler,88,22,Miami Heat,G,09/14/89,6.58,2.01,220,99.8,32742000,USA,2011,1,30,Marquette
16,Rudy Gobert,88,27,Utah Jazz,C,06/26/92,7.08,2.16,238,108.0,25258427,France,2013,1,27,UCLA
17,Blake Griffin,88,23,Detroit Pistons,F,03/16/89,6.75,2.06,252,114.3,34449964,USA,2009,1,1,Oklahoma
18,Donovan Mitchell,88,45,Utah Jazz,G,09/07/96,6.08,1.85,211,95.7,3635760,USA,2017,1,13,Louisville
